Step,iou,iiou
0,2.467010021209717,2.828007221221924
1,2.9775426387786865,3.292755365371704
2,3.575946807861328,3.9282894134521484
3,3.9950218200683594,4.307021617889404
4,4.085094451904297,4.259133815765381
5,4.443459987640381,4.64116096496582
6,4.641768455505371,4.870676517486572
7,4.671130180358887,4.843998432159424
8,4.840652942657471,5.000654220581055
9,4.875661849975586,5.056345462799072
10,5.156269550323486,5.342977523803711
11,5.46002197265625,5.678388595581055
12,5.465508460998535,5.654176235198975
13,5.216950416564941,5.361611366271973
14,5.507133960723877,5.70105504989624
15,5.537346363067627,5.707885265350342
16,5.41498327255249,5.613252639770508
17,5.458278179168701,5.6637864112854
18,5.549624443054199,5.721290588378906
19,5.435428619384766,5.580622673034668
20,5.557972431182861,5.736318111419678
21,5.593550205230713,5.7667975425720215
22,5.418257236480713,5.560951232910156
23,5.289580345153809,5.432798385620117
24,5.518674373626709,5.681707382202148
25,5.564022064208984,5.719489574432373
26,5.59285306930542,5.7585577964782715
27,5.493966102600098,5.646101951599121
28,5.504517078399658,5.659925937652588
29,5.626968860626221,5.797669410705566
30,5.6093645095825195,5.7730841636657715
31,5.604426860809326,5.768400192260742
32,5.58555269241333,5.751708030700684
33,5.620185375213623,5.782167434692383
34,5.633546829223633,5.815009117126465
35,5.615955829620361,5.782558917999268
36,5.591396808624268,5.760238170623779
37,5.540883541107178,5.701932907104492
38,5.658866882324219,5.828488826751709
39,5.618251323699951,5.786261081695557
40,5.582180976867676,5.749174118041992
41,5.6154022216796875,5.787777423858643
42,5.5674004554748535,5.7341532707214355
43,5.602352142333984,5.771592140197754
44,5.532500267028809,5.69549560546875
45,5.588619709014893,5.758095741271973
46,5.552606582641602,5.717198371887207
47,5.605634689331055,5.77700138092041
48,5.596323013305664,5.765892505645752
49,5.593635559082031,5.761986255645752
50,5.599762916564941,5.771698474884033
51,5.578312873840332,5.749294757843018
52,5.580333232879639,5.7486891746521
53,5.579040050506592,5.748610019683838
54,5.590015888214111,5.759638786315918
55,5.572142124176025,5.7412614822387695
56,5.588257312774658,5.758773326873779
57,5.575070858001709,5.7432637214660645
58,5.587159633636475,5.7585368156433105
59,5.590908527374268,5.763813495635986
60,5.583567142486572,5.7547173500061035
61,5.582668304443359,5.752963066101074
62,5.5778069496154785,5.747656345367432
63,5.589123725891113,5.761294364929199
64,5.583401203155518,5.754302978515625
65,5.581394195556641,5.751445770263672
66,5.587854862213135,5.759969234466553
67,5.584932804107666,5.75626277923584
68,5.600861549377441,5.773873805999756
69,5.5778703689575195,5.748586654663086
70,5.589011192321777,5.760800838470459
71,5.589301586151123,5.761224269866943
72,5.590885639190674,5.763177394866943
73,5.581758499145508,5.753001689910889
74,5.585289001464844,5.757201671600342
75,5.591561794281006,5.763930320739746
76,5.584773540496826,5.756358623504639
77,5.583551406860352,5.754760265350342
78,5.59076452255249,5.763126850128174
79,5.584644317626953,5.756194114685059
80,5.5842695236206055,5.75584077835083
81,5.585499286651611,5.757196426391602
82,5.584887981414795,5.756539821624756
83,5.585150241851807,5.756798267364502
84,5.58505392074585,5.756733417510986
85,5.583890914916992,5.755400657653809
86,5.583541393280029,5.755063056945801
87,5.586181163787842,5.758068561553955
88,5.584785461425781,5.756383895874023
89,5.587301731109619,5.759219169616699
90,5.5861897468566895,5.757984638214111
91,5.585493564605713,5.757228374481201
