Step,iou,iiou
0,1.3441237211227417,1.561326503753662
1,1.458817958831787,1.6203296184539795
2,1.3922845125198364,1.517652988433838
3,1.5747535228729248,1.7464481592178345
4,1.7091790437698364,1.896620273590088
5,1.632071614265442,1.8072688579559326
6,1.8203749656677246,2.0036885738372803
7,1.7634766101837158,1.9806405305862427
8,1.7781386375427246,1.9206267595291138
9,1.9429477453231812,2.117560863494873
10,1.9468958377838135,2.1385481357574463
11,2.0109498500823975,2.211388111114502
12,2.028226375579834,2.2257180213928223
13,2.14227032661438,2.3502469062805176
14,2.10771107673645,2.2827274799346924
15,2.2045090198516846,2.3943886756896973
16,2.2041356563568115,2.3657283782958984
17,2.2160000801086426,2.406599998474121
18,2.1241567134857178,2.307140350341797
19,2.2791717052459717,2.4724481105804443
20,2.253495693206787,2.4395039081573486
21,2.3323874473571777,2.543733835220337
22,2.360931158065796,2.548557758331299
23,2.2056612968444824,2.429417848587036
24,2.3458075523376465,2.5859715938568115
25,2.360163927078247,2.592231273651123
26,2.415438652038574,2.6294167041778564
27,2.415127754211426,2.612751007080078
28,2.3691630363464355,2.5474612712860107
29,2.4443416595458984,2.675218343734741
30,2.452594041824341,2.650573253631592
31,2.4164671897888184,2.606466770172119
32,2.4555861949920654,2.667494297027588
33,2.3714969158172607,2.55522084236145
34,2.486147880554199,2.722885847091675
35,2.500063180923462,2.740182638168335
36,2.4649829864501953,2.715266227722168
37,2.5086708068847656,2.7484800815582275
38,2.531836986541748,2.7569448947906494
39,2.4952609539031982,2.7401511669158936
40,2.478985548019409,2.69972825050354
41,2.4898035526275635,2.7430028915405273
42,2.552149772644043,2.814527988433838
43,2.4181716442108154,2.595170021057129
44,2.3972554206848145,2.5901010036468506
45,2.5735790729522705,2.792742967605591
46,2.5374104976654053,2.7724058628082275
47,2.606145143508911,2.872678518295288
48,2.5301337242126465,2.7298426628112793
49,2.5211524963378906,2.70770525932312
50,2.5626351833343506,2.817549228668213
51,2.590991735458374,2.812335729598999
52,2.4992198944091797,2.6907970905303955
53,2.477170705795288,2.6971797943115234
54,2.4881575107574463,2.674717426300049
55,2.567948341369629,2.806422233581543
56,2.5481419563293457,2.771634817123413
57,2.4782280921936035,2.664944887161255
58,2.5026192665100098,2.720478057861328
59,2.587158679962158,2.82906174659729
60,2.6472105979919434,2.896820068359375
61,2.5237982273101807,2.81851863861084
62,2.60585618019104,2.8892338275909424
63,2.5200867652893066,2.7739577293395996
64,2.58746600151062,2.829805612564087
65,2.553330659866333,2.770221710205078
66,2.64658260345459,2.865929126739502
67,2.473066568374634,2.672055959701538
68,2.5444366931915283,2.7695860862731934
69,2.5556881427764893,2.812023639678955
70,2.6159377098083496,2.8331170082092285
71,2.6013944149017334,2.8301963806152344
72,2.5618503093719482,2.794778823852539
73,2.6074700355529785,2.8425803184509277
74,2.620225191116333,2.8272488117218018
75,2.569912910461426,2.7978389263153076
76,2.5200488567352295,2.699431896209717
77,2.6210100650787354,2.867154598236084
78,2.5724549293518066,2.807337522506714
79,2.529844045639038,2.715819835662842
80,2.6318416595458984,2.8404836654663086
81,2.6363372802734375,2.8385374546051025
82,2.5985348224639893,2.829183340072632
83,2.5890066623687744,2.809891939163208
84,2.49943208694458,2.660991668701172
85,2.5727880001068115,2.7816669940948486
86,2.640207052230835,2.8758513927459717
87,2.704451322555542,2.9527759552001953
88,2.5883517265319824,2.797473669052124
89,2.6090402603149414,2.806548833847046
90,2.6627442836761475,2.8875789642333984
91,2.5863466262817383,2.80014967918396
92,2.54662823677063,2.765479803085327
93,2.610057830810547,2.874871015548706
94,2.6215708255767822,2.9056365489959717
95,2.6827123165130615,2.9022469520568848
96,2.558945417404175,2.755608081817627
97,2.627105474472046,2.840587854385376
98,2.6151037216186523,2.821211099624634
99,2.633375644683838,2.848823308944702
